ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,color
830.0,Smart,FORTWO,Fortwo passion,Fortwo passion,SMART Fortwo passion,Cabriolet,698,Zuzwil,127 g/km,Occasion,F,5.3 l/100km,3,Hinterradantrieb,7,2003,Benzin,61,schwarz,165000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,Black
882.0,Mercedes-benz,S 65 AMG,S 65 AMG L,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,6,2008,Benzin,612,schwarz,56200,"\"Ab MFK\"",5,Automat sequentiell,Silver
950.0,Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,3,2010,Benzin,580,schwarz,26300,"\"Ab MFK\"",5,Automat,Silver
1112.0,Bentley,ARNAGE,ARNAGE Red Label,Red Label,BENTLEY ARNAGE Red Label,Limousine,6750,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,10,2000,Benzin,405,beige,85700,"\"Ab MFK\"",5,Automatik-Getriebe,White
1115.0,Mercedes-benz,CLS 500,CLS 500,CLS 500,MERCEDES-BENZ CLS 500,Kombi,4663,Zuzwil,214 g/km,Occasion,G,9.2 l/100km,5,Hinterradantrieb,5,2013,Benzin,408,schwarz,10400,"\"Ab MFK\"",5,Automat sequentiell,White
1149.0,Mercedes-benz,S 65 AMG,S 65 AMG L,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,3,2007,Benzin,612,schwarz,102000,"\"Ab MFK\"",5,Automat sequentiell,White
221.0,Porsche,911,911 Targa,Targa,PORSCHE 911 Targa,Cabriolet,2687,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,11,1971,Benzin,150,schwarz,96000,"\"Ab MFK\"",2,Schaltgetriebe manuell,Yellow
236.0,Ruf,"",CTR,CTR,RUF CTR,Coupé,3400,Zuzwil,null,Occasion,null,null,2,null,1,1990,Benzin,469,blau,46000,"\"Ab MFK\"",2,null,Gold
257.0,Renault,R5,R5 1400 Alpine Turbo,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo,Kleinwagen,1397,Zuzwil,null,Oldtimer,null,null,3,Vorderradantrieb,7,1982,Benzin,108,beige,124500,"\"Ab MFK\"",4,Schaltgetriebe manuell,Grey
325.0,Land Rover,DEFENDER,Defender 90 2.4Td4 SW,Defender 90 2.4Td4 SW,LAND ROVER Defender 90 2.4Td4 SW,Kombi,2402,Zuzwil,266 g/km,Occasion,null,10.0 l/100km,3,Allrad,2,2011,Diesel,122,schwarz,50400,"\"Ab MFK\", \"Direkt-/Parallelimport\"",4,Schaltgetriebe manuell,Grey
