ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
876.0,MERCEDES-BENZ,S 65 AMG,S 65 L AMG 650PS,S 65 L AMG 650PS,MERCEDES-BENZ S 65 L AMG 650PS,silber mét.,Limousine,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,8,2004,Benzin,612,beige,61000,"\"Ab MFK\"",5,Automat
890.0,FIAT,SPIDER,124 Spider CSA Abarth,CSA Abarth,FIAT 124 Spider CSA Abarth,silber mét.,Cabriolet,1755,Zuzwil,null,Occasion,null,null,2,null,7,1974,null,128,schwarz,120000,null,2,Schaltgetriebe
1029.0,BENTLEY,ARNAGE,Arnage T,Arnage T,BENTLEY Arnage T,silber mét.,Limousine,6761,Basel,495 g/km,Occasion,G,20.6 l/100km,4,Hinterradantrieb,3,2006,Benzin,457,schwarz,15600,null,5,Automat
1060.0,PORSCHE,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,silber mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,null,12.9 l/100km,2,Allrad,3,2003,Benzin,420,schwarz,94500,"\"Ab MFK\"",4,Automatik-Getriebe
1122.0,AUDI,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,weiss,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,1,2010,Benzin,700,schwarz,15000,"\"Ab MFK\"",5,Automat sequentiell
121.0,BENTLEY,BROOKLANDS,Brooklands,Brooklands,BENTLEY Brooklands,blau mét.,Limousine,6749,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,3,1995,Benzin,245,null,39100,"\"Ab MFK\"",5,Automat
300.0,MERCEDES-BENZ,S 500,S 500,S 500,MERCEDES-BENZ S 500,grau mét.,Limousine,4966,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,9,1999,Benzin,299,schwarz,112800,"\"Ab MFK\"",5,Automat
347.0,MERCEDES-BENZ,ML 63 AMG,ML 63 AMG 4Matic,ML 63 AMG 4Matic,MERCEDES-BENZ ML 63 AMG 4Matic,grau mét.,SUV / Geländewagen,6209,Zuzwil,392 g/km,Occasion,G,16.5 l/100km,5,Allrad,6,2012,Benzin,510,schwarz,2000,"\"Ab MFK\"",5,Automat sequentiell
353.0,ASTON MARTIN,V12 Vanquish,Vanquish V12,Vanquish V12,ASTON MARTIN Vanquish V12,grau mét.,Coupé,5935,Zuzwil,396 g/km,Occasion,G,16.7 l/100km,2,Hinterradantrieb,1,2003,Benzin,470,beige,24600,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
424.0,ALFA ROMEO,ALFASUD,Alfasud 1.5 ti,Alfasud 1.5 ti,ALFA ROMEO Alfasud 1.5 ti,grün mét.,Limousine,1490,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,8,1981,Benzin,95,mehrfarbig,81900,"\"Ab MFK\"",5,Schaltgetriebe manuell
