carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Coupé,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2001,25900,"",911,911 Turbo,"","","",10,l_km_consumption
Cabriolet,Grey,Occasion,"",Automat,Zuzwil,"",Bentley,2007,58000,"",CONTINENTAL,Continental GTC 6.0,"","","",2,l_km_consumption
Coupé,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,1997,62000,"",F550,F550 Maranello,"","","",5,l_km_consumption
Coupé,Green,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,29000,"",CL 600,CL 600,"","","",5,l_km_consumption
Coupé,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Chevrolet,2009,6300,"",CORVETTE,Corvette ZR1,"","","",6,l_km_consumption
Limousine,Red,Occasion,"",Automat,Zuzwil,"",Bentley,1990,60100,"",TURBO,Turbo R,"","","",5,null
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,2000,46500,"",456,456M GT,"","","",3,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1972,68000,"",Alpine A110,1600 S,"","","",2,null
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2008,45600,"",S 63 AMG,S 63 AMG L,"","","",8,l_km_consumption
Kombi,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2002,75200,"",RS6,RS6 Avant quattro,"","","",8,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1984,137700,"",911,911 Carrera Cabrio,"","","",12,null
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2006,34650,"",RS4,RS4 Cabriolet 4.2 quattro,"","","",6,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",BMW,1996,65000,"",740,740i,"","","",12,l_km_consumption
Cabriolet,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1993,37000,"",SL 600,SL 600,"","","",3,null
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Porsche,1993,128200,"",911,Turbo ll 3.6,"","","",10,null
Cabriolet,Black,Oldtimer,"",Automatik-Getriebe,Basel,"",Rolls-royce,1982,70000,"",CORNICHE,Convertible,"","","",1,null
SUV / Geländewagen,Silver,Occasion,"",Automat,Zuzwil,"",VW,2003,117800,"",TOUAREG,Touareg 5.0 TDI V10,"","","",11,l_km_consumption
Kombi,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Toyota,2004,144000,"",COROLLA,Corolla 2.0 D4D L.Terra,"","","",6,l_km_consumption
SUV / Geländewagen,Silver,Occasion,"",Automat,Zuzwil,"",Land Rover,2010,9000,"",RANGE ROVER,Range Rover 5.0 V8 SC,"","","",10,l_km_consumption
Limousine,Silver,Oldtimer,"",Schaltgetriebe,Zuzwil,"",BMW-alpina,1980,129400,"",7 SERIES,B7 Turbo Limousine,"","","",3,null
Coupé,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,39600,"",CL 500,CL 500,"","","",1,l_km_consumption
Limousine,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,26300,"",A8,A8 4.2 quattro,"","","",11,l_km_consumption
Cabriolet,Other,Occasion,"",Automat,Zuzwil,"",Audi,1996,120200,"",Cabriolet,Cabriolet 2.8 E,"","","",7,l_km_consumption
Limousine,Bronze,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2008,80000,"",QUATTROPORTE,Quattroporte 4.2 Sport GT,"","","",4,l_km_consumption
Cabriolet,Yellow,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Chrysler,1993,28600,"",VIPER,Viper RT/10,"","","",10,null
Cabriolet,Grey,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2002,61800,"",911,911 Carrera Targa,"","","",5,l_km_consumption
Coupé,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2002,52900,"",911,911 Turbo,"","","",6,l_km_consumption
Coupé,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Toyota,1983,158000,"",CELICA,Celica 2800 i Supra,"","","",3,null
Coupé,Grey,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2001,74100,"",911,911 Turbo,"","","",8,l_km_consumption
