carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1978,222300,"",ALPINE,Alpine A310 V6,"","","",7,null
Cabriolet,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2007,47900,"",SL 500,SL 500,"","","",4,l_km_consumption
SUV / Geländewagen,Silver,Occasion,"",Automat,Zuzwil,"",VW,2006,104500,"",TOUAREG,Touareg 5.0 TDI V10,"","","",9,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2006,29900,"",535,535d,"","","",1,l_km_consumption
Coupé,Other,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Lamborghini,1973,48000,"","",Espada GT 400 Serie 3,"","","",4,null
Coupé,Other,Occasion,"",null,Zuzwil,"",Ruf,2007,36000,"","",RT 12,"","","",6,null
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Honda,2001,111500,"",LEGEND,Legend V6 3.5i,"","","",3,l_km_consumption
Limousine,Yellow,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1999,128000,"",S 320,S 320,"","","",4,l_km_consumption
Coupé,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2011,79500,"",CL 500,CL 500 4Matic,"","","",1,l_km_consumption
Limousine,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Maserati,2010,29000,"",QUATTROPORTE,Quattroporte 4.7 S,"","","",11,l_km_consumption
Cabriolet,Green,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mclaren,2013,16000,"",12C,MP4-12C Spider 3.8 V8,"","","",5,l_km_consumption
Limousine,Green,Occasion,"",null,Zuzwil,"",Lancia,1984,13000,"","",Rally 037 stradale,"","","",4,null
Cabriolet,Green,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,2000,140000,"",323,323Ci,"","","",7,l_km_consumption
Cabriolet,Green,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1996,12900,"",SL 600,SL 600,"","","",5,l_km_consumption
Coupé,Green,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1977,91000,"",Alpine A110,null,"","","",7,null
Cabriolet,Red,Occasion,"",Schaltgetriebe,Zuzwil,"",Dodge,2001,18600,"",VIPER,RT/10,"","","",12,null
Limousine,Red,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mercedes-benz,2013,4900,"",S 63 AMG,S 63 AMG,"","","",10,l_km_consumption
Kombi,Red,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2000,45000,"",A6,A6 Avant 2.7 T Ambition,"","","",9,l_km_consumption
SUV / Geländewagen,Other,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2010,2900,"",CAYENNE,Cayenne Turbo Techart Magnum Kit,"","","",1,l_km_consumption
Limousine,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2013,15300,"",M5,M5,"","","",9,l_km_consumption
Coupé,Black,Occasion,"",Automat,Zuzwil,"",Ferrari,1999,18200,"",456,456M GTA,"","","",12,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1999,29800,"",911,911 GT3,"","","",8,l_km_consumption
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2012,29600,"",M6,M6,"","","",10,null
Coupé,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2005,38400,"",GRANSPORT,Coupé GranSport,"","","",1,l_km_consumption
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,48100,"",S 600,S 600 L,"","","",1,l_km_consumption
Kleinwagen,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,2004,61200,"",CLIO,Clio 3.0 Sport V6,"","","",11,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Chevrolet,2008,33000,"",CORVETTE,Corvette 6.2,"","","",3,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Chevrolet,2010,24000,"",CORVETTE,Corvette Z06,"","","",3,l_km_consumption
Coupé,White,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,2007,26000,"",575M,575M,"","","",5,l_km_consumption
Limousine,White,Occasion,"",Automat,Zuzwil,"",Bentley,2006,43000,"",CONTINENTAL,Continental FlyingSpur6.0,"","","",1,l_km_consumption
Cabriolet,Yellow,Occasion,"",Automatik-Getriebe,Zuzwil,"",Rolls-royce,1987,19720,"",CORNICHE,Cabrio,"","","",6,null
Coupé,Yellow,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,1998,28100,"",F355,F355 Berlinetta,"","","",3,l_km_consumption
Coupé,Other,Occasion,"",Automatik-Getriebe,Sursee,"",Bugatti,2008,20000,"","",Veyron 16.4,"","","",7,null
Coupé,Grey,Neu,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2005,165,"",CL 500,CL 500,"","","",1,l_km_consumption
Limousine,Grey,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2010,47500,"",PANAMERA,Panamera Turbo 4.8,"","","",1,l_km_consumption
Coupé,Grey,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2002,114800,"",COUPÉ GT,Coupé GT,"","","",6,l_km_consumption
SUV / Geländewagen,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2009,88500,"",ML 63 AMG,ML 63 AMG 4Matic,"","","",3,l_km_consumption
Coupé,Grey,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Renault,1972,34900,"",Alpine A110,1600S VC,"","","",7,null
Limousine,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2003,29200,"",E 500,E 500 Avantgarde,"","","",5,l_km_consumption
Coupé,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,1992,56500,"",MONDIAL,Mondial 3.4 T,"","","",5,null
Cabriolet,Red,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,36800,"",SL 500,SL 500,"","","",6,l_km_consumption
Kombi,Red,Occasion,"",Automat sequentiell,Zuzwil,"",Chrysler,2007,47100,"",300C,300C T 5.7 HEMI V8,"","","",1,l_km_consumption
Limousine,Red,Occasion,"",Automat,Zuzwil,"",Bentley,2002,62000,"",ARNAGE,Arnage T,"","","",5,l_km_consumption
Coupé,Red,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2012,43000,"",SL 65 AMG,BLACK SERIES,"","","",4,null
Limousine,Red,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1996,33700,"",E 50 AMG,E 50 AMG Avantgarde,"","","",11,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1991,55300,"",SL 500,SL 500,"","","",9,null
Limousine,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2004,51000,"",CLS 500,CLS 500,"","","",12,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Bentley,1995,124900,"",BROOKLANDS,Brooklands,"","","",12,null
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2000,171000,"",M5,M5,"","","",1,l_km_consumption
Kombi,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2002,91100,"",RS6,RS6 Avant quattro,"","","",7,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2002,316200,"",S3,S3 quattro,"","","",3,l_km_consumption
Coupé,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,1998,26000,"",911,911 Carrera,"","","",5,l_km_consumption
Kombi,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2008,48200,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",11,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1999,73700,"",S 320,S 320,"","","",3,l_km_consumption
Kombi,Black,Neu,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2006,500,"",R 500,R 500 4Matic,"","","",1,l_km_consumption
Kleinwagen,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1981,147800,"",R5,Alpine,"","","",7,null
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,35600,"",E 50 AMG,E 50 AMG Avantgarde,"","","",2,l_km_consumption
Kombi,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2009,118800,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",2,l_km_consumption
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Audi,1997,66300,"",A8,A8 4.2 quattro,"","","",1,l_km_consumption
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1999,83600,"",SL 320,SL 320,"","","",8,l_km_consumption
SUV / Geländewagen,White,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,148300,"",ML 400,ML 400 CDI,"","","",2,l_km_consumption
Kombi,Blue,Neu,"",Automat sequentiell,Zuzwil,"",Audi,2014,100,"",RS6,RS6 Avant 4.0 TFSI V8 qu,"","","",4,l_km_consumption
Limousine,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",Audi,2004,95300,"",A4,A4 3.0 V6,"","","",2,l_km_consumption
Cabriolet,White,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,70600,"",SL 320,SL 320,"","","",2,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Lotus,2002,36700,"",ESPRIT,Esprit 3.5 V8 SE,"","","",7,l_km_consumption
Coupé,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,75100,"",CL 500,CL 500,"","","",9,l_km_consumption
SUV / Geländewagen,Other,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2003,121000,"",CAYENNE,Cayenne Turbo,"","","",3,l_km_consumption
Limousine,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Lancia,1992,155000,"",DELTA,Delta HF Integrale Evo,"","","",2,null
Kombi,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2011,76500,"",535,535i Touring,"","","",7,l_km_consumption
Coupé,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2003,63300,"",911,911 Turbo,"","","",9,l_km_consumption
Cabriolet,Green,Occasion,"",Automat sequentiell,Zuzwil,"",Bentley,2010,15000,"",CONTINENTAL,Continental Supersports Conv.,"","","",9,l_km_consumption
Coupé,Red,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2008,9650,"",911,911 Turbo,"","","",7,l_km_consumption
Kleinwagen,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Seat,2005,132200,"",IBIZA,Ibiza 1.9 TDI FR,"","","",8,l_km_consumption
Limousine,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mercedes-benz,2011,69200,"",CLS 63 AMG,CLS 63 AMG,"","","",9,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Seat,2009,53300,"",LEON,Leon 2.0 TSI FR,"","","",1,l_km_consumption
Kombi,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,40900,"",RS6,RS6 Avant quattro,"","","",10,l_km_consumption
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",VW,2002,175000,"",PHAETON,Phaeton 6.0 W12 4Motion,"","","",11,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1981,114000,"",924,Turbo,"","","",9,null
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Lincoln,2002,119600,"",Continental,null,"","","",2,null
Coupé,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2000,80000,"",911,911 Turbo,"","","",10,l_km_consumption
Cabriolet,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2002,49600,"",M3,M3,"","","",5,l_km_consumption
Limousine,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",VW,2007,105800,"",GOLF,Golf R32 4Motion,"","","",2,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1992,71600,"",ALPINE,Alpine A610 Turbo,"","","",6,null
Limousine,Silver,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Toyota,1972,57700,"",CARINA,Deluxe,"","","",11,null
Coupé,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2004,42200,"",612,612,"","","",10,l_km_consumption
Coupé,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2006,20000,"",GALLARDO,Gallardo 5.0 V10 Coupé SE,"","","",1,l_km_consumption
Coupé,Silver,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Renault,1976,42940,"",ALPINE,1600 VF,"","","",8,null
Limousine,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Triumph,1977,12800,"",Dolomite,Sprint,"","","",7,null
Kleinwagen,Other,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1982,77900,"",R5,R5 1400 Alpine Turbo,"","","",3,null
Coupé,Other,Occasion,"",Schaltgetriebe manuell,Porrentruy,"",Lamborghini,1999,44500,"",DIABLO,Diablo 5.7 SV,"","","",1,l_km_consumption
Limousine,White,Occasion,"",Automat,Zuzwil,"",BMW,2000,49700,"",330,330i,"","","",9,l_km_consumption
Kombi,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2001,83000,"",E 320,E 320 Avantgarde,"","","",5,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2002,132600,"",911,911 Turbo,"","","",3,l_km_consumption
Limousine,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Maserati,2009,96000,"",QUATTROPORTE,Quattroporte 4.7 S,"","","",2,l_km_consumption
Limousine,Yellow,Oldtimer,"",Automatik-Getriebe,Safenwil,"",Toyota,1985,58100,"",CAMRY,2000 GLi Super Liftback,"","","",5,null
Kombi,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,39000,"",RS6,RS6 Avant quattro,"","","",1,l_km_consumption
Cabriolet,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,106000,"",SL 500,SL 500,"","","",6,l_km_consumption
Coupé,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2009,44600,"",911,911 GT2,"","","",5,l_km_consumption
Coupé,Green,Occasion,"",Schaltgetriebe,Zuzwil,"",Fiat,1972,131000,"",Dino,2400 Coupé,"","","",10,null
Cabriolet,Red,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1993,68900,"",SL 600,SL 600,"","","",5,null
Kompaktvan / Minivan,Red,Occasion,"",Automat,Zuzwil,"",Dodge,1979,13800,"","",B 200,"","","",7,null
Coupé,Red,Neu,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2015,100,"",911,911 Turbo S,"","","",1,l_km_consumption
SUV / Geländewagen,Red,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2004,61900,"",X5,X5 4.8is,"","","",8,l_km_consumption
Coupé,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,1999,77800,"",911,911 Carrera 4,"","","",5,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Alfa Romeo,1988,69300,"",SPIDER,Spider 2.0,"","","",4,null
SUV / Geländewagen,Blue,Occasion,"",Automat,Zuzwil,"",Hummer,2006,127700,"",H3,H3 3.5 Luxury,"","","",1,l_km_consumption
Cabriolet,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2007,48000,"",M6,M6,"","","",4,l_km_consumption
Cabriolet,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2008,29100,"",SL 600,SL 600,"","","",1,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2008,67700,"",S5,S5 Coupé 4.2 FSI quattro,"","","",5,l_km_consumption
Coupé,Black,Occasion,"",Automat sequentiell,St. Gallen,"",Lamborghini,2014,1700,"",GALLARDO,GallardoLP570-4CpéTecnica,"","","",9,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1992,125600,"",SL 500,SL 500,"","","",7,null
Coupé,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Bentley,2008,36900,"",CONTINENTAL,Continental GT Speed 6.0,"","","",5,l_km_consumption
Limousine,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2010,26800,"",PANAMERA,Panamera Turbo 4.8,"","","",1,l_km_consumption
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2012,82000,"",535,535d xDrive,"","","",4,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1999,35100,"",911,911 Carrera 4,"","","",4,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Chevrolet,2009,4000,"",CORVETTE,Corvette ZR1,"","","",7,l_km_consumption
Limousine,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW,1974,578,"",2002,Turbo,"","","",6,null
Cabriolet,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2007,32000,"",M6,M6,"","","",2,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2001,53400,"",911,911 GT2,"","","",9,l_km_consumption
SUV / Geländewagen,Blue,Occasion,"",Automat,Zuzwil,"",Ford (usa),1999,50100,"",EXPLORER,Explorer 4.0 Ltd. Edition,"","","",9,l_km_consumption
Cabriolet,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2008,41000,"",SL 55 AMG,SL 55 AMG,"","","",12,l_km_consumption
Cabriolet,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,25100,"",SL 320,SL 320,"","","",4,l_km_consumption
Kombi,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2008,46000,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",7,l_km_consumption
Limousine,Other,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW-alpina,1999,146500,"",3 SERIES,B8,"","","",1,null
Coupé,Other,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1971,19200,"",Alpine A110,1600S Gruppe 5 look,"","","",1,null
Coupé,Grey,Occasion,"",Schaltgetriebe,Zuzwil,"",Mg,1968,48800,"",MGC,GT,"","","",8,null
Cabriolet,Grey,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2008,70400,"",SLK 350,SLK 350,"","","",3,l_km_consumption
Coupé,Green,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1996,88500,"",S 600,S 600,"","","",3,null
Cabriolet,Green,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1999,16300,"",SL 500,SL 500,"","","",4,l_km_consumption
Limousine,Beige,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1998,49900,"",E 55 AMG,E 55 AMG Avantgarde,"","","",6,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1991,156300,"",500,500 SE,"","","",7,null
SUV / Geländewagen,Blue,Occasion,"",Automat,Zuzwil,"",Land Rover,2006,49900,"",RANGE ROVER SPORT,Range Rover Sport 4.2 V8 SC,"","","",6,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Jaguar,1974,49200,"",E,E-Type III,"","","",3,null
Coupé,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,103800,"",CL 600,CL 600,"","","",6,l_km_consumption
Limousine,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2012,12000,"",M5,M5,"","","",1,l_km_consumption
Kombi,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,41100,"",RS6,RS6 Avant quattro,"","","",6,l_km_consumption
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2005,36000,"",612,612,"","","",4,l_km_consumption
Limousine,Blue,Occasion,"",Schaltgetriebe,Zuzwil,"",Lancia,1995,68000,"",DELTA,Integrale EVO,"","","",2,null
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1995,134100,"",911,911 Carrera 4,"","","",2,null
Cabriolet,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2001,41000,"",F360,F360 Spider,"","","",5,l_km_consumption
Coupé,White,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2007,22000,"",599,599 GTB,"","","",4,l_km_consumption
Limousine,White,Oldtimer,"",Schaltgetriebe manuell,Safenwil,"",Mini,1976,44300,"",MINI,1000,"","","",7,null
Kombi,Blue,Occasion,"",Automat,Zuzwil,"",Audi,2008,114200,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",7,l_km_consumption
Limousine,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Subaru,2006,161500,"",IMPREZA,Impreza 2.5T WRX,"","","",4,l_km_consumption
Kombi,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2009,59900,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",3,l_km_consumption
SUV / Geländewagen,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2003,127000,"",CAYENNE,Cayenne Turbo,"","","",4,l_km_consumption
Coupé,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1999,47700,"",911,911 Carrera 4,"","","",11,l_km_consumption
Limousine,Green,Occasion,"",Automat sequentiell,Zuzwil,"",VW,2002,43900,"",PHAETON,Phaeton 6.0 W12 4Motion,"","","",11,l_km_consumption
Cabriolet,Green,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2004,7600,"",SL 500,SL 500,"","","",5,l_km_consumption
Cabriolet,Green,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2003,53600,"",F360,F360 Spider,"","","",3,l_km_consumption
Coupé,Red,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2006,4400,"",F430,F430,"","","",3,l_km_consumption
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",VW,2002,15900,"",PHAETON,Phaeton 6.0 W12 4Motion,"","","",11,l_km_consumption
Cabriolet,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2002,38700,"",SLK 230,SLK 230 Kompressor,"","","",5,l_km_consumption
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2007,42000,"",GALLARDO,Gallardo Superleggera,"","","",6,l_km_consumption
Limousine,Black,Occasion,"",null,Zuzwil,"",Renault,1972,14873,"",R12,Gordini,"","","",4,null
SUV / Geländewagen,Black,Occasion,"",Automat,Zuzwil,"",Land Rover,1995,70400,"",RANGE ROVER,Range Rover 4.6 HSE,"","","",11,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,39800,"",SL 500,SL 500,"","","",8,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Chrysler,2000,66900,"",VIPER,Viper GTS,"","","",12,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Ford,1986,1000,"","",RS200 EVO Gruppe B,"","","",8,null
Limousine,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,2001,124800,"",330,330xi,"","","",11,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2005,78700,"",CLS 500,CLS 500,"","","",4,l_km_consumption
SUV / Geländewagen,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,126300,"",ML 350,ML 350 Inspiration,"","","",10,l_km_consumption
Coupé,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2005,8000,"",F360,F360 Modena Berlinetta,"","","",3,l_km_consumption
Coupé,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2002,51200,"",575M,575M,"","","",7,l_km_consumption
Cabriolet,Purple,Neu,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2014,450,"",911,911 Turbo S Cabrio,"","","",5,l_km_consumption
Limousine,Purple,Occasion,"",Automatik-Getriebe,Zuzwil,"",Bentley,1979,175100,"","",T 2,"","","",2,null
Kompaktvan / Minivan,Yellow,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Daewoo,2003,103000,"",TACUMA,Tacuma 2000i CDX,"","","",10,l_km_consumption
Limousine,Gold,Occasion,"",Automat,Zuzwil,"",Daimler,1996,94800,"",XJ,Six 4.0,"","","",1,null
Coupé,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2004,47500,"",911,911 Turbo,"","","",1,l_km_consumption
Limousine,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,1998,93000,"",540,540i,"","","",11,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2003,114000,"",CAYENNE,Cayenne Turbo,"","","",8,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ford,1994,11000,"",ESCORT,Escort 2.0i RS Cosworth,"","","",4,null
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1998,63400,"",E 55 AMG,E 55 AMG Avantgarde,"","","",2,l_km_consumption
Coupé,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2001,27800,"",CL 500,CL 500,"","","",1,l_km_consumption
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Bentley,1999,44600,"",ARNAGE,Arnage Green Label,"","","",2,l_km_consumption
Kombi,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2002,21400,"",RS6,RS6 Avant quattro,"","","",7,l_km_consumption
Limousine,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Fiat,2006,28800,"",STILO,Stilo 1.8 16V Swiss,"","","",8,l_km_consumption
Coupé,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Maserati,2002,62300,"",COUPÉ GT,Coupé GT,"","","",6,l_km_consumption
Coupé,Silver,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Toyota,1981,79300,"",CELICA,1600 GT DOHC,"","","",10,null
Limousine,White,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,1996,143700,"",A8,A8 4.2 quattro,"","","",3,l_km_consumption
Kombi,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,64500,"",RS6,RS6 Avant quattro,"","","",5,l_km_consumption
SUV / Geländewagen,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2013,25100,"",ML 63 AMG,ML 63 AMG 4Matic,"","","",1,l_km_consumption
Cabriolet,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,32500,"",SL 600,SL 600,"","","",5,l_km_consumption
Limousine,Other,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2006,97300,"",S 65 AMG,S 65 AMG L,"","","",6,l_km_consumption
